race_ethnicity,year,overdose_death_rate,overdose_death_count,population_size,data_as_of,data_loaded_at
All races,2023,99.507038423314071,805,808988,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Asian, Non-Hispanic",2023,12.192850248090632,36,295255,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Black/African American, Non-Hispanic",2023,606.11938127333553,250,41246,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
Latine/Hispanic,2023,126.04724884896974,167,132490,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"White, Non-Hispanic",2023,96.341338682697156,292,303089,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
All races,2022,78.546627628374253,635,808437,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Asian, Non-Hispanic",2022,9.16817488802942,27,294497,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Black/African American, Non-Hispanic",2022,416.55630733668823,173,41531,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
Latine/Hispanic,2022,96.752547556998167,124,128162,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"White, Non-Hispanic",2022,90.439529583847573,277,306282,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
All races,2021,76.794785350562648,623,811253,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Asian, Non-Hispanic",2021,6.410624091125335,19,296383,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Black/African American, Non-Hispanic",2021,449.6056934025774,187,41592,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
Latine/Hispanic,2021,78.106693743653835,100,128030,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"White, Non-Hispanic",2021,91.235892971302462,284,311281,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
All races,2020,80.193659645700279,698,870393,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Asian, Non-Hispanic",2020,11.001491672841523,34,309049,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"Black/African American, Non-Hispanic",2020,403.1886462077228,175,43404,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
Latine/Hispanic,2020,112.15094911529572,148,131965,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
"White, Non-Hispanic",2020,87.504630453361486,300,342839,2025/05/21 08:39:54 AM,2025/05/28 03:17:02 PM
